url,WeekID,WeekPosition,Song,Performer,SongID,Instance,Previous Week Position,Peak Position,Weeks on Chart,BPM
11,1/3/2015,101,11,11,11,11,11,11,11,11
11,1/10/2015,101,11,11,11,11,11,11,11,11
11,1/17/2015,101,11,11,11,11,11,11,11,11
11,1/24/2015,101,11,11,11,11,11,11,11,11
11,1/31/2015,101,11,11,11,11,11,11,11,11
11,2/7/2015,101,11,11,11,11,11,11,11,11
11,2/14/2015,101,11,11,11,11,11,11,11,11
11,2/21/2015,101,11,11,11,11,11,11,11,11
11,2/28/2015,101,11,11,11,11,11,11,11,11
11,3/7/2015,101,11,11,11,11,11,11,11,11
11,3/14/2015,101,11,11,11,11,11,11,11,11
11,3/21/2015,101,11,11,11,11,11,11,11,11
11,3/28/2015,101,11,11,11,11,11,11,11,11
11,4/4/2015,101,11,11,11,11,11,11,11,11
11,4/11/2015,101,11,11,11,11,11,11,11,11
11,4/18/2015,101,11,11,11,11,11,11,11,11
11,4/25/2015,101,11,11,11,11,11,11,11,11
11,5/2/2015,101,11,11,11,11,11,11,11,11
11,5/9/2015,101,11,11,11,11,11,11,11,11
11,5/16/2015,101,11,11,11,11,11,11,11,11
11,5/23/2015,101,11,11,11,11,11,11,11,11
11,5/30/2015,101,11,11,11,11,11,11,11,11
11,6/6/2015,101,11,11,11,11,11,11,11,11
11,6/13/2015,101,11,11,11,11,11,11,11,11
11,6/20/2015,101,11,11,11,11,11,11,11,11
11,6/27/2015,101,11,11,11,11,11,11,11,11
11,7/4/2015,101,11,11,11,11,11,11,11,11
11,7/11/2015,101,11,11,11,11,11,11,11,11
11,7/18/2015,101,11,11,11,11,11,11,11,11
11,7/25/2015,101,11,11,11,11,11,11,11,11
11,8/1/2015,101,11,11,11,11,11,11,11,11
11,8/8/2015,101,11,11,11,11,11,11,11,11
11,8/15/2015,101,11,11,11,11,11,11,11,11
11,8/22/2015,101,11,11,11,11,11,11,11,11
11,8/29/2015,101,11,11,11,11,11,11,11,11
11,9/5/2015,101,11,11,11,11,11,11,11,11
11,9/12/2015,101,11,11,11,11,11,11,11,11
11,9/19/2015,101,11,11,11,11,11,11,11,11
11,9/26/2015,101,11,11,11,11,11,11,11,11
11,10/3/2015,101,11,11,11,11,11,11,11,11
11,10/10/2015,101,11,11,11,11,11,11,11,11
11,10/17/2015,101,11,11,11,11,11,11,11,11
11,10/24/2015,101,11,11,11,11,11,11,11,11
11,10/31/2015,101,11,11,11,11,11,11,11,11
11,11/7/2015,101,11,11,11,11,11,11,11,11
11,11/14/2015,101,11,11,11,11,11,11,11,11
11,11/21/2015,101,11,11,11,11,11,11,11,11
11,11/28/2015,101,11,11,11,11,11,11,11,11
11,12/5/2015,101,11,11,11,11,11,11,11,11
11,12/12/2015,101,11,11,11,11,11,11,11,11
11,12/19/2015,101,11,11,11,11,11,11,11,11
11,12/26/2015,101,11,11,11,11,11,11,11,11
11,1/2/2016,101,11,11,11,11,11,11,11,11
11,1/9/2016,101,11,11,11,11,11,11,11,11
11,1/16/2016,101,11,11,11,11,11,11,11,11
11,1/23/2016,101,11,11,11,11,11,11,11,11
11,1/30/2016,101,11,11,11,11,11,11,11,11
11,2/6/2016,101,11,11,11,11,11,11,11,11
11,2/13/2016,101,11,11,11,11,11,11,11,11
11,2/20/2016,101,11,11,11,11,11,11,11,11
11,2/27/2016,101,11,11,11,11,11,11,11,11
11,3/5/2016,101,11,11,11,11,11,11,11,11
11,3/12/2016,101,11,11,11,11,11,11,11,11
